model,split,rmse,truth,predict
r1+r2-rf-rdkit_2d_normalized,0,0.4050600832641153,"[2.156851901070011, 1.5622928644564746, 1.9420080530223127, 1.866287339084195, 2.039414119176137, 1.8836614351536176, 2.062581984228163, 2.631950826259217, 3.3679147387937527, 2.0663259253620376, 2.677606952720493, 2.298853076409707, 2.576916955965207, 3.0166155475571776, 2.59659709562646, 3.868438702162959, 4.334976198654342, 2.2317243833285167, 3.979297923083695, 4.582517883604062, 2.227886704613673, 1.5250448070368452, 1.7708520116421442, 2.6716355966021297, 1.8228216453031043, 2.6651117370750512, 1.8603380065709936, 1.99563519459755, 1.7160033436347992, 1.380211241711606, 1.5502283530550942, 1.8573324964312683, 1.7032913781186614, 1.7201593034059568, 1.809559714635268, 1.7853298350107671, 1.7442929831226763, 1.841984804590114, 1.8293037728310249, 1.568201724066995, 1.6720978579357175, 1.806179973983887, 2.198657086954422, 2.1156105116743, 1.5740312677277188, 1.462397997898956, 1.5185139398778875, 2.155336037465062, 1.5314789170422551, 2.1658376246901283]","[2.358070305953973, 1.9951923287152735, 2.2998132970739604, 2.0293130063092817, 1.678771296261228, 2.291950231077441, 1.941331467496666, 1.9882562103025128, 2.732689803750012, 1.9850474008507464, 2.149085571116085, 2.32312206859231, 2.117052936277546, 3.5584191986656726, 2.4707770057493037, 3.562015490477951, 3.0794206772392374, 2.192283270852499, 3.5833575555616624, 3.689531109519538, 2.1818651086990126, 1.477569565177572, 1.7704058822194773, 2.327393044516905, 2.002776715073268, 2.704927719996974, 1.7575045649936394, 1.5855407413154328, 1.4587583792729246, 1.391915309015374, 1.7733592479406055, 1.9448034594522463, 1.6000852578191276, 1.7334146128625332, 1.2812879003346926, 1.6148261772081478, 1.334842997841977, 1.1994179902108062, 1.211780590065222, 1.2062585960559458, 1.177481676594088, 1.189129988671425, 2.3674696247674065, 1.49780030848432, 1.4481240108432394, 1.5940069355704582, 1.4225115408083449, 1.6242487608568663, 1.4728090765884192, 2.01170589657376]"
r1+r2-rf-rdkit_2d_normalized,1,0.40184469239927845,"[2.789228057267336, 1.7075701760979365, 1.7671558660821804, 1.7558748556724917, 1.4548448600085102, 1.9890046156985368, 1.9822712330395684, 2.0791812460476247, 2.750893920382125, 1.57978359661681, 1.8976270912904407, 2.3560258571931225, 1.9111576087399769, 3.514414920580369, 2.620656479819621, 3.710963118995276, 2.912487761332324, 2.250420002308894, 3.8242234903608168, 3.715961582542224, 2.2612628687924934, 1.4313637641589874, 1.6020599913279625, 2.661812685537261, 1.792391689498254, 2.963787827345555, 1.7032913781186614, 1.5378190950732742, 1.3979400086720375, 1.3710678622717365, 1.6901960800285136, 1.812913356642856, 1.6127838567197357, 1.3891660843645326, 1.2671717284030135, 1.7160033436347992, 1.3891660843645326, 1.0606978403536118, 1.2174839442139065, 1.1903316981702914, 1.1903316981702914, 1.130333768495006, 2.501059262217752, 1.5118833609788744, 1.4548448600085102, 1.4313637641589874, 1.3117538610557542, 1.505149978319906, 1.380211241711606, 1.9845273133437928]","[2.123940516915908, 1.8331688416010796, 2.3580906713874974, 2.0542775054623648, 2.072104759591084, 2.0572409466701465, 2.05075040506596, 2.3534044064896693, 3.0286143592786328, 2.1694711803919207, 2.5781759596080245, 2.3882060916338483, 2.4675110225107137, 3.191809948865924, 2.436292978309537, 3.720834032777488, 3.907056312206145, 2.324779372842774, 3.762826592557179, 4.163559618081072, 2.18389564259754, 1.6251761559540814, 1.9602007504530892, 2.541136575172428, 2.051623315045884, 2.597355255486323, 1.9035658087375, 1.872973953533236, 1.6880224342550585, 1.5410655757751286, 1.682072973653271, 1.9901835917741808, 1.7396636542407773, 2.194135354868439, 1.772440140220079, 1.771137775015269, 1.7072511671528496, 1.7696864073258594, 1.7319026380640314, 1.5921474940060307, 1.6510461384715296, 1.7726702070473388, 2.2293860181490506, 2.001523938714802, 1.6966710623964096, 1.6757911795923517, 1.7196474877244967, 1.990685435979872, 1.6545985508317862, 2.055421109800963]"
r1+r2-rf-rdkit_2d_normalized,2,0.7209676626186999,"[2.2081725266671217, 1.9890046156985368, 2.586587304671755, 1.6020599913279625, 1.5622928644564746, 2.1072099696478683, 1.6989700043360187, 2.4463818122224423, 2.3096301674258988, 1.7283537820212285, 2.943247125137862, 2.0827853703164503, 2.0453229787866576, 2.718916686014861, 2.2405492482826, 3.494154594018443, 3.7844389742226894, 2.530199698203082, 3.880813592280792, 4.495280628260573, 1.8920946026904804, 1.6483600109809315, 3.147985320683805, 3.7102020146553847, 3.091139153825755, 3.090786927949268, 1.7671558660821804, 1.662757831681574, 1.469822015978163, 1.4313637641589874, 1.9395192526186185, 3.4262672071396065, 1.6483600109809315, 3.451095311633917, 1.3010299956639813, 1.667452952889954, 1.290034611362518, 1.3117538610557542, 1.290034611362518, 1.2787536009528289, 1.230448921378274, 1.3521825181113625, 2.625312450961674, 2.287801729930226, 2.037426497940624, 2.110589710299249, 2.423245873936808, 1.4471580313422192, 1.792391689498254, 1.6020599913279625]","[2.4396873268013275, 2.565960670453716, 3.141540749084293, 2.81762702272218, 2.366574511443089, 3.1642072002538875, 3.123691711287147, 2.7359541202108453, 3.748685678100874, 2.6347940813603263, 2.8097572944681293, 3.402109151894074, 3.402027764325372, 3.522188241205858, 2.6633208923456277, 3.469747279392443, 3.726661537169366, 3.154550716588856, 3.903497623317127, 4.122849964765612, 2.046466138231305, 1.5699068510332057, 2.05373156041932, 2.4478148658954204, 2.161508357450316, 2.5973610771907403, 2.093775172778626, 2.34308564451868, 2.095846689444956, 1.9473125941954208, 2.3733064642358133, 2.4754892996128324, 1.8310466580906573, 2.53085191604448, 2.072459544115615, 2.2384145590858404, 1.9643186908965644, 2.200814116866252, 2.062774697098587, 1.9861320423911573, 1.9922114936858293, 2.1380588513281795, 2.376999180194758, 2.42851898614212, 1.9341892755252692, 1.8820597286791436, 2.013238890374545, 1.7348992935579983, 1.611313044244792, 1.8722737174620687]"
r1+r2-rf-rdkit_2d_normalized,3,0.6185920184456059,"[2.485011214578573, 2.7958800173440754, 3.5706596700215343, 3.399587200018076, 3.730014720919724, 2.785329835010767, 3.486572150518356, 3.750970984437319, 3.667779718248877, 3.7696726640554927, 3.6149499184762433, 3.382197210377454, 4.305179337564041, 3.6792006957270496, 2.45408227073109, 2.904985881099363, 3.277494609611012, 3.2835273648616936, 3.5658478186735176, 4.1401779543808015, 2.0588054866759067, 1.5440680443502757, 2.3988077302032647, 2.709269960975831, 2.164352855784437, 2.904985881099363, 2.9954157985424152, 3.59477915450515, 2.702430536445525, 2.2648178230095364, 2.6459132750338443, 2.997167871445834, 2.2265999052073573, 3.821775467183464, 3.498655095245119, 3.4239009185284166, 3.3988077302032647, 3.520352504083318, 3.640878778701618, 2.8172347304254983, 3.2597133053907306, 3.4770488662734738, 2.338456493604605, 3.791725727933098, 2.342422680822206, 1.7442929831226763, 2.6133131614554594, 1.3117538610557542, 1.591064607026499, 1.5563025007672873]","[2.372619796100012, 2.6225130753656614, 3.3690867997990632, 2.568257962755757, 2.389286734970117, 3.3608174705997493, 3.227678056386664, 2.5974254986027376, 3.711496184113234, 2.5878277534020184, 2.7087784709608558, 3.6720082091275614, 3.161961708743362, 3.296142786808277, 2.5856412095281054, 3.388008343034353, 3.698763654200335, 3.36336618181712, 3.899627954288018, 4.215584684215285, 2.013338865381451, 1.8478930987632507, 2.8464577182739474, 3.009746102777884, 2.8431077724570093, 3.0695055859359632, 2.2813446265392874, 3.1021748621730474, 2.58253911316773, 2.650217429735842, 3.007595416411782, 3.333891186844127, 1.9947725234085056, 3.4563128024037657, 2.367672273189211, 2.93822867885688, 2.0478477988710724, 2.9012235097653534, 2.2066978988265946, 2.563861421127661, 2.386226943872389, 2.900161021481348, 2.860463888817675, 3.311104359060867, 2.726855698299622, 2.3040925719872503, 2.734526122812783, 1.897828274873227, 1.7360899887938814, 1.6940853202333386]"
r1+r2-rf-rdkit_2d_normalized,4,0.41538535085254263,"[1.7708520116421442, 2.423245873936808, 2.7067177823367587, 3.3582204731086795, 1.5965970956264603, 2.770483809431108, 1.5563025007672873, 1.5185139398778875, 1.6384892569546374, 2.937768567049936, 2.4345689040341987, 2.2730012720637376, 2.1222158782728267, 3.905957699092427, 2.562292864456474, 3.5341530741850624, 2.5877109650189114, 1.6901960800285136, 1.975431808509263, 2.598790506763115, 2.3988077302032647, 2.3434085938038574, 1.5314789170422551, 2.0211892990699383, 1.7283537820212285, 2.2706788361447066, 1.8948696567452523, 1.6580113966571124, 1.3891660843645326, 1.423245873936808, 1.2787536009528289, 1.414973347970818, 1.6074550232146685, 1.5622928644564746, 1.3117538610557542, 1.423245873936808, 1.290034611362518, 1.130333768495006, 1.2174839442139065, 1.1613680022349748, 1.0606978403536118, 1.0969100130080565, 1.7958800173440752, 1.3710678622717365, 1.2174839442139065, 1.4393326938302626, 1.230448921378274, 1.9138138523837167, 1.2787536009528289, 2.1958996524092336]","[1.9941152080793023, 2.0578622460635176, 2.298850740448582, 2.077401177693376, 1.849116424311595, 2.226959637759841, 1.9598831479923648, 1.860868879205289, 2.6758020555558826, 1.943975447333108, 2.104279595235572, 2.3695683014405287, 2.2219042968792158, 3.710220255545413, 2.4144859660559743, 3.260839792720648, 2.9477403046015502, 2.0615506112744195, 2.959681737769444, 3.267691241139738, 2.117496640969364, 1.4213408045723728, 1.555597754799667, 1.960265091156616, 1.8788254174103227, 2.6275975461787624, 1.9416991540360895, 1.694375630087965, 1.5595575230193888, 1.4167128012754098, 1.6410696174335644, 1.5612585787499509, 1.6949385570412414, 1.7044083471951432, 1.4569216922754396, 1.6018690524328167, 1.4610204612119535, 1.4455445735114094, 1.335458307649776, 1.292523805266653, 1.3135233889888644, 1.4295491071494626, 2.017319806972568, 1.498198212551331, 1.4643320142532412, 1.6437490009685367, 1.4018101302615262, 1.8246991624508349, 1.562272522744327, 2.063376492940493]"
r1+r2-rf-rdkit_2d_normalized,5,0.57462285018498,"[2.170261715394957, 2.909823369650912, 3.841265592625783, 2.4409090820652177, 2.2528530309798933, 3.72439876574326, 3.808717242049248, 2.6915235221681546, 4.066568168015852, 2.3710678622717363, 2.513217600067939, 4.151737481038518, 3.729812507160936, 3.485366465708323, 2.6488477083728936, 2.9190780923760737, 3.500030534183874, 3.632710303832954, 4.004170849612427, 4.49514871354542, 1.806179973983887, 1.591064607026499, 2.8943160626844384, 3.034828915655837, 2.746244871720198, 3.459543258280413, 2.574609941340188, 3.936790115130084, 3.303088010528054, 2.932980821923198, 3.258756972536576, 3.96611825672714, 1.6283889300503116, 4.040681439373358, 2.767897616018091, 3.5848963441374497, 2.0433622780211294, 3.4805099729419604, 2.4265112613645754, 3.0330214446829107, 2.88280904139244, 3.7582304084577496, 2.920905604164024, 4.166015456323775, 3.00987563371216, 2.1861083798132053, 2.9372670722114127, 1.4471580313422192, 1.7032913781186614, 1.3979400086720375]","[2.5137126764205195, 2.738219033539839, 3.400929967829281, 3.086794611313048, 3.1639370245402803, 2.9726308159516748, 3.252013280419653, 3.374195958117655, 3.707400175992172, 3.047739515358552, 3.306126962865428, 3.3744116781449702, 3.78684110284063, 3.653249458240512, 2.709657256844776, 3.361495114666852, 3.4764475604008225, 3.254678904551562, 3.51141530054408, 3.877420965981265, 2.118215357349256, 1.7792599869337606, 2.50539382419652, 2.6820774963534784, 2.4667249629162806, 2.810315269459395, 2.677396576181747, 3.027397761665084, 2.339442333711116, 2.154153560021327, 2.7316374271778376, 2.92740649906334, 2.2997711196224104, 3.357385404880066, 2.678207143799784, 2.8532184925159827, 2.8085306775274934, 2.9322573720090954, 2.7478025476339183, 2.42914530740866, 2.6386458222990585, 2.7476431997490773, 2.454412630679186, 2.982627362755826, 2.472622645100256, 2.015228108293148, 2.5580270039694004, 1.6683585552406768, 1.683625167965333, 1.7122984864429147]"
r1+r2-rf-rdkit_2d_normalized,6,0.5445336711042975,"[1.711807229041191, 1.5440680443502757, 1.9294189257142929, 1.8920946026904804, 2.6503075231319366, 1.6074550232146685, 1.7888751157754168, 1.3617278360175928, 2.2027606873932, 2.79133970396514, 1.740362689494244, 2.127104798364808, 2.224014811372864, 3.049799277918986, 2.1760912590556813, 2.2833012287035497, 2.3483048630481607, 2.039414119176137, 1.5502283530550942, 2.2612628687924934, 1.5740312677277188, 1.3710678622717365, 1.4548448600085102, 1.568201724066995, 2.170261715394957, 2.41161970596323, 2.7741518589547103, 1.9111576087399769, 1.5563025007672873, 1.4065401804339552, 1.8948696567452523, 1.6074550232146685, 1.8750612633917, 1.7481880270062005, 1.4548448600085102, 1.2041199826559248, 1.4471580313422192, 1.7520484478194385, 1.0, 1.0606978403536118, 1.230448921378274, 1.7323937598229686, 1.9731278535996988, 1.5622928644564746, 1.380211241711606, 2.371990911464915, 1.5854607295085006, 1.8356905714924256, 2.1832698436828046, 2.1687920203141817]","[2.026557465370012, 2.406568990888948, 2.629779585297724, 2.6534929313953977, 1.6670833040482722, 2.57636253907404, 1.8488518408276169, 1.8685527583013084, 2.46341304094374, 2.259633343744524, 2.356995596246144, 2.426499364910454, 2.325374742845116, 3.7141423898625794, 2.4786521295606714, 3.4537181332766203, 3.0226844887545514, 1.9461030762947047, 2.878603469298054, 3.317836195767046, 2.2453656185006645, 1.7692779019007872, 1.538505167972008, 2.008753461695942, 1.728181014907988, 2.491191507813012, 1.803510825363596, 1.6761121202129536, 1.45971757550067, 1.3818748505991911, 1.44312260195927, 1.507062760508611, 1.6440048304278734, 1.6438763752066703, 1.3161478068869252, 1.5604758580492, 1.3137552309228957, 1.2233423386403135, 1.268399169254074, 1.1875032935727787, 1.1671522580900588, 1.178134270005095, 1.850101924775554, 1.3501419801797911, 1.323321968065808, 1.4868309650175713, 1.31457063809655, 1.9269262124741215, 1.4092804208911212, 2.1523546158588145]"
r1+r2-rf-rdkit_2d_normalized,7,0.313273864426874,"[1.7853298350107671, 2.667452952889954, 3.0989896394011773, 1.9469432706978247, 1.6180480967120927, 2.7792356316758635, 1.9319661147281728, 1.802773725291976, 2.747411807886423, 1.5965970956264603, 2.337459261290656, 2.4913616938342726, 2.367355921026019, 4.175729196106905, 2.4800069429571505, 3.3945392313722045, 2.8429211207599825, 1.977723605288848, 3.0372272345822746, 2.874191804679071, 2.3010299956639813, 1.3324384599156054, 1.1760912590556811, 1.8260748027008264, 1.6580113966571124, 2.75815462196739, 1.7201593034059568, 1.568201724066995, 1.469822015978163, 1.3891660843645326, 1.5502283530550942, 1.3324384599156054, 1.6483600109809315, 1.809559714635268, 1.3979400086720375, 1.7481880270062005, 1.2041199826559248, 1.130333768495006, 1.290034611362518, 1.230448921378274, 1.2041199826559248, 1.1613680022349748, 1.7442929831226763, 1.230448921378274, 1.484299839346786, 1.414973347970818, 1.2671717284030135, 1.869231719730976, 1.3521825181113625, 2.1687920203141817]","[2.030302913954704, 2.4229989064840827, 2.682963563073252, 3.073651913441537, 1.747053889945505, 2.6476299374741306, 1.9223176994937765, 1.8162218354937008, 2.5417009932843904, 2.6203155372873352, 2.3679853440747314, 2.338788976691688, 2.3803716573862004, 3.646125368049837, 2.51858763659134, 3.2957933601599656, 2.818633858281132, 1.953608462112821, 2.373328867797273, 3.145584395602748, 2.17827895561923, 1.744903394752913, 1.806977748949916, 2.104981574180103, 1.954694251576886, 2.479734392119632, 1.916743439123337, 1.6334003067324638, 1.496094958225112, 1.3408356710963008, 1.5918150984204975, 1.7101397274802717, 1.6589523226623668, 1.6470036479814718, 1.2509894620684725, 1.438767643138538, 1.3055079105827088, 1.213492846568105, 1.182770402675224, 1.1254717411328228, 1.1037378907132622, 1.1845138418758732, 2.033469708699964, 1.39715182854156, 1.3286638595677118, 1.5775717623603642, 1.3513538702309338, 1.864671153925834, 1.4396034187361684, 2.144535061533239]"
r1+r2-rf-rdkit_2d_normalized,8,0.4996453274841381,"[2.014940349792937, 2.707995746422929, 3.016197353512439, 3.419955748489758, 1.667452952889954, 2.8394780473741985, 1.7634279935629371, 1.7558748556724917, 3.012415374762433, 2.824125833916549, 2.3211840273023143, 2.251638220448212, 2.629409599102719, 4.162758511291854, 2.451018452155457, 3.390405156480081, 2.7062909572587635, 1.6720978579357175, 1.9912260756924949, 3.570776368794748, 2.220108088040055, 1.4548448600085102, 1.7481880270062005, 1.9420080530223127, 1.6434526764861874, 2.578639209968072, 1.7853298350107671, 1.6074550232146685, 1.5250448070368452, 1.1903316981702914, 1.3222192947339193, 1.2671717284030135, 1.6074550232146685, 1.255272505103306, 1.2174839442139065, 1.5378190950732742, 1.3324384599156054, 1.290034611362518, 1.2041199826559248, 1.0791812460476249, 1.1760912590556811, 1.130333768495006, 1.7520484478194385, 1.230448921378274, 1.3222192947339193, 1.4983105537896004, 1.3324384599156054, 2.150756439860309, 1.3521825181113625, 2.317018101048112]","[2.0692850296411147, 2.317516331910793, 2.741001991678262, 2.3525431668887107, 2.1197737164210504, 2.496096123512582, 2.280396896470862, 2.12021224578914, 2.866520436245807, 2.1558600290987298, 2.3774462378894965, 2.4947533581876744, 2.420504020176084, 3.618695465859554, 2.4904146090347643, 3.436660324900433, 3.0737953022379845, 2.273476948618138, 3.10086309293824, 3.2419430850478164, 2.067006851506446, 1.5613441686364518, 1.8378088895374871, 2.239552973866707, 2.066971305374663, 2.666614809107013, 2.1222663989125725, 2.1369675328388014, 1.829600936904116, 1.7326517045142813, 2.0973336641818463, 2.204544545219483, 1.734740748604214, 2.2929818834368656, 1.7644596235043652, 1.986170720111955, 1.690199337681087, 1.9177714996685589, 1.6191969386273726, 1.6424218272479183, 1.636611528443356, 1.8604103889560888, 2.229667739430846, 2.046925290152654, 1.7818941210762225, 1.8089564683686896, 1.7839833637893554, 1.7753946192035062, 1.650954280813848, 1.978779822864699]"
r1+r2-rf-rdkit_2d_normalized,9,0.6819629616806319,"[2.395326393069351, 2.779957051246906, 3.128722284338427, 3.1218879851036814, 1.841984804590114, 3.615107987443194, 3.479863113023098, 2.1861083798132053, 4.5618940823807, 2.2933625547114453, 2.222716471147584, 3.896719071958632, 3.1945143418824675, 3.840011945275068, 2.6651117370750512, 4.214327154074388, 4.549836699792701, 3.2717254694902382, 4.53308538644057, 3.94571471405986, 1.8893017025063104, 1.4471580313422192, 1.7363965022766426, 1.5740312677277188, 2.3820170425748683, 1.916453948549925, 1.7520484478194385, 1.6127838567197357, 1.469822015978163, 1.7558748556724917, 3.106870544478654, 2.623766000133931, 1.6283889300503116, 2.6133131614554594, 1.130333768495006, 1.3891660843645326, 1.3324384599156054, 1.1613680022349748, 1.255272505103306, 1.021189299069938, 0.8750612633917001, 0.9542425094393248, 2.2355284469075487, 1.3521825181113625, 1.3324384599156054, 2.2612628687924934, 1.7958800173440752, 1.5250448070368452, 2.0569048513364727, 2.0253058652647704]","[2.215634867826188, 2.2440004410897965, 2.8103239623468363, 2.3207534413058872, 2.160106868406896, 2.5331748829880305, 2.405193728735484, 2.3677577963408667, 3.03593245700462, 2.421757125839777, 2.708006713738169, 2.649493227707265, 2.6742840719960417, 3.3239940513412614, 2.4731095856615104, 3.577184700524122, 3.543685859911861, 2.550265588364132, 3.672269801156834, 4.117934969153866, 2.016028973648902, 1.6529645653968317, 2.4154769110550656, 2.7185601655567058, 2.4155708071438484, 2.836564261868432, 2.0933083487955706, 2.287354560585643, 1.9583288308224855, 1.804878170791356, 2.1384010657712964, 2.6465431789246505, 1.8263188843321527, 2.8570645224072218, 1.896975004268897, 2.140226739330384, 1.8209060176739904, 2.125650268708888, 1.7806033761621287, 1.847613000700022, 1.844392466877975, 2.06705825802529, 2.344831652016601, 2.5031357862145125, 2.1090431686216315, 1.963685940926094, 2.099651135215741, 1.71440790184013, 1.7063357295373458, 1.8049927534582004]"
